,news_title,time,news_theme
376,376,376,#陈钰琪古装# 陈钰琪@荷包能手风小晚 古装造型真的很能打！出演了这么多不古装剧每一个古装造型都很好看啊！从第一次认识她的《锦绣未央》里的拓跋迪，到后面《香蜜沉沉烬如霜》鎏英，再到《倚天屠龙记》的赵敏，现在《两世欢》中的风眠晚、原清离，都太可啦！
377,377,377,【《网络综艺节目内容审核标准细则》发布 94条标准规范网综】在访谈及脱口秀类节目中，明确规定的问题包括“以讨论明星个人婚恋、生育、纠纷、绯闻等生活隐私，或展示奢侈生活、豪华婚礼、子女天价教育等为话题和主要内容”。比如在最新一季《吐槽大会》中，歌手萧亚轩就吐槽自己只是个“平平无奇的恋 展开全文c
378,378,378,"【日媒：#日本新冠肺炎确诊人数达737人#】据日本放送协会(NHK)报道，截至当地时间21日晚6时30分，包括“钻石公主”号邮轮感染人数在内，日本共计737人确诊感染新冠肺炎。

截至20日，“钻石公主”号邮轮有634人确诊。乘客中确诊感染新冠病毒的一名神奈川县87岁男性和一名东京都84岁女性，在医疗机构中 展开全文c"
379,379,379,【#济南再发生4级以上地震可能性不大#】2月18日17时07分，山东#济南地震#为4.1级。山东省地震局在对地震监测资料分析研判的基础上认为，原震区再次发生4级以上地震的可能性不大。O网页链接
380,380,380,#王牌对王牌# 沈腾贾玲“我来比划你来猜”！——沈腾爆笑演绎“校草、杨洋、雷佳音、王菲、印度甩饼” ，沈腾演绎王菲真的让 #贾玲 哭笑交叉# L新剧不能停的微博视频
381,381,381,【#武汉市社会福利院共确诊12例#，死亡一人】2月21日，武汉市民政局回应网络质疑：①武汉市社会福利院先后进行核酸检测、CT排查，确诊12人，死亡一人。确诊、疑似病例均立即转移到相关医疗机构救治，没有网上所说“11名老人呼吸衰竭而死”的情况。②详细介绍硚口区古田融济康养中心去世老人的生病全过 展开全文c
382,382,382,#花木兰日本版新预告# 迪士尼真人电影《花木兰》发布日本版新预告，刘亦菲、甄子丹、巩俐、李连杰、李截、安佑森等出演，妮基·卡罗执导。北美3月27日上映，日本4月17日上映，中国内地待定。 L新浪电影的微博视频
383,383,383,【疫情期间#酒精棉片棉球可少量带进北京地铁#】#酒精棉片棉球能否带进地铁#？2月21日@北京地铁 回应：根据规定，酒精等易燃物品禁止带入轨道交通。疫情爆发以来，广大乘客对于携带酒精棉片、棉球的需求较大，经与公安机关协调，疫情期间原则上由工作人员视情况对于少量携带酒精棉片、棉球的乘客予以放 展开全文c
384,384,384,"#综艺里的神cos#
王源《王牌对王牌》cos贾宝玉太惊艳了！
翩翩公子，透着骨子里的温柔
吹花镜头太绝了@TFBOYS-王源"
385,385,385,"#给气质增添灵气的眼睛#
朱一龙逆天的颜值，令人怦然心动的眼睛，期待新剧《亲爱的自己》《盗墓笔记重启》早日播出~@朱一龙 #朱一龙2020并肩前行#"
386,386,386,【疑接触过新冠肺炎患者，#韩总统府十几名内部警卫被隔离#】#周刊君与你共同战疫# 据韩国《中央日报》21日报道，近日，由于怀疑接触过新冠肺炎确诊患者，十几名青瓦台内部警卫被要求自行隔离2周。韩国疾病管理本部20日表示，一名75岁的韩国籍男性确诊患者，曾于2月6日到17日之间，先后五次前往景福宫站 展开全文c
387,387,387,#关注新冠肺炎#【#北京一确诊病例复工期间密切接触66人#】北京市疾病预防控制中心副主任庞星火21日通报一起新冠肺炎确诊病例。2月13日，北京疾控中心接到一新冠肺炎确诊病例。确定A某女儿B某为密切接触者，由于B某儿子年幼且处于哺乳期，没有采用集中医学观察而是居家医学观察。B某在观察期内未向社区 展开全文c
388,388,388,【#7类返京人群免隔离14天#】①过去14天未在境内停留且经机场口岸入境的人员②从境内其他地区（不包括湖北省）短期进京，在京没有固定住所和职业的人员③从境内其他地区（不包括湖北省）进（返）京复工复岗且具备集中工作条件的人员④居住在北三县等环京地区的在京工作人员⑤民航机组、铁路班组人员⑥ 展开全文c
389,389,389,【#高三班主任直播中数次落泪#：你们生于非典那一年，高考又赶上新冠病毒】近日，河南省淮阳中学高三班主任在网络班会上，因担心疫情会对学生们产生影响数次落泪。 网友们纷纷安慰于老师：”您的学生今年一定可以考出好成绩，因为他们有您这样的好老师。”（未来网）L未来网的微博视频
390,390,390,#汪小菲说大S短发是洗剪吹# ，这是吐槽还是秀恩爱？#大S# 就算是洗剪吹，也是最美的洗剪吹！！#汪小菲#
392,392,392,【#湖北订正19日确诊病例数#：19日新增确诊订正为775例】今晚，湖北省卫健委发布订正说明：2月19日，部分市州对前期报告的临床诊断病例按照第六版诊疗方案进行订正，核减了部分确诊病例，2月20日发现并及时叫停了这一错误做法。现将2月19日核减的病例数重新加回到确诊病例中，并对当日新增病例数进行订 展开全文c
393,393,393,【#世卫组织专家小组周六前往武汉#】据@国是直通车 世卫组织总干事谭德赛：由世卫组织领导的国际专家小组将于周六前往武汉。
394,394,394,【#中共中央政治局研究疫情防控工作#】中共中央政治局2月21日召开会议，研究新冠肺炎疫情防控工作，部署统筹做好疫情防控和经济社会发展工作。中共中央总书记习近平主持会议。 L人民日报的微博视频
395,395,395,"【最好吃的水果品种产地】
前段时间，不是助农嘛……陆陆续续囤了好些水果！发现水果选好产地好吃十倍品种相同的水果，出自不同的产地口味就千差万别……这大概就是一方土养一方水果吧？？？大家平时从某宝买的话，看下发货地，找准产地基本不会出错

今年最🔥 展开全文c"
396,396,396,【#打工夫妻治愈后携手捐血浆#】2月20日上午，余承毅、陈咏霞在武汉市江夏区人民医院爱心献血屋各捐献400毫升血浆。两人都是在汉打工者，还约定14天后再来捐献。在拍完捐献合影后，陈咏霞说，感觉自己像重新结了一次婚，重新拍了一次婚纱照。（人民日报记者程远州） L人民日报的微博视频
397,397,397,"于朦胧 #两世欢# #心疼景辞#

虽然但是……我真的好爱看美强惨，光看图片，有内味了

【截修】"
398,398,398,"筷子🥢毛领🌬

安排起来啦～
近期很火的筷子毛领拍照📷
我终于忍不住下手了！

#女生化妆出门的真实原因##你拍过最照骗的照片#"
399,399,399,ITZY回归是好事，可是实时搜索全都是#难听# ，你听了感觉怎样 听了感觉如何！！
400,400,400,#护士杜富佳# 一家人
401,401,401,【国家卫健委：#核酸阴性不能排除新冠感染# ，需考虑这些因素】刚刚，国家卫健委发布了《新型冠状病毒肺炎防控方案（第五版）》，其中在实验室检测技术指南中明确提出，核酸检测结果阴性不能排除新型冠状病毒感染，需要排除可能产生假阴性的因素。来源：北京日报客户端 O网页链接 #北京战疫 展开全文c
403,403,403,【#全国疫情发展拐点尚未到来#】中共中央政治局2月21日召开会议，研究新冠肺炎疫情防控工作，部署统筹做好疫情防控和经济社会发展工作。会议提到，目前疫情蔓延势头得到初步遏制，防控工作取得阶段性成效，全国新增确诊病例数和疑似病例数总体呈下降趋势，治愈出院人数较快增长，尤其是湖北以外省份新 展开全文c
404,404,404,#何炅做双皮奶# #何炅锅扑了# 何老师@何炅 小厨房菜品更新，这次是很有难度的双皮奶，不过此次险些翻车，煮奶期间去开门取菜，结果奶扑了~~何老师事后发文：“煮容易沸的食物（比如牛奶）一定不能离人！大家吸取小何的教训，安全第一！” L新浪综艺的微博视频
405,405,405,【男子#因封路在面包车上生存26天#，被人当成逃犯】男子董某1月24日从湖北红安出发回老家温州，因疫情封路被困武穴市26天。有野外生存经验的董某将车停在公厕附近，购买1个月分量的面条、鸡蛋。当地村民以为董某是逃犯，便报了警。民警已向防疫部门申请助其返回红安。L一手video的秒拍视频
406,406,406,#宁桓宇结婚# 20日晚，13届快男@宁桓宇 晒出结婚证宣布结婚喜讯，并配文“2020.2.20❤️ ”。据结婚证显示，女方是1997年10月出生，比宁桓宇小4岁。1月29日，他晒出与女友的合影正式宣布恋情，甜蜜写道“以后我就是有领导的人了”。恭喜啊！O13届快男宁桓宇晒照宣布结婚
407,407,407,【#复工后最爱点什么外卖#？】#周刊君与你共同战疫# 某外卖平台发布数据显示，#复工后上班族最爱点火锅外卖#，火锅外卖订单量大幅增长，复工第二周相较第一周增长超过50%，三成商家外卖单量超疫前。回到岗位的上班族更倾向通过外卖给“居家胃”换个口味。火锅、烧烤、香锅、东南亚菜和西餐是最受上班族 展开全文c
408,408,408,#美食时刻##馒头披萨#馒头也能做披萨，不用烤箱，一个平底锅就可以搞定L不二食记的微博视频
409,409,409,金海其实没死，后面带着徐天和刀美兰去了南方，凭着手上的金条开了一家裁缝铺，叫做海兰之家，赚了钱之后又和徐天开了一家酱油厂叫做海天酱油，又偶遇小耳朵，因在牢里救过金海，从此结拜，就是后面的海尔兄弟。 请问：这是哪位高人写的续集剧本🙋🙋🙋
410,410,410,#以为每天上传体温就够傻的了#谢谢，有被笑到，哈哈哈哈哈
411,411,411,#新世界大结局# 可真是彩蛋连连，真没想到还能吃到小耳朵的瓜。人家同志一本正经的说“连翠华，不是女犯吗？”哈哈哈哈哈哈哈谁能想到呢，从号子里出来的不仅不是个女的，还是豪横的小耳朵！#小耳朵真名#原来小耳朵叫连翠华#还有小红袄被打死了、金海没死回归，真好！
412,412,412,【#病毒通过衣物传染人的几率极低#】中国疾控中心研究员冯录召：病毒通过污染衣物传染人的几率极低。如果不是去过特定的场所，如去医院探视过病人或接触过可疑症状的人，不需要对衣服进行专门消毒。另外，酒精喷洒在衣物上，遇到明火、高温、静电，都可能起火。建议#不要将酒精喷洒在衣服上#。 展开全文c
413,413,413,【#痊愈后肺功能会受影响吗#】#白岩松对话王辰院士#大家在这方面不必过于担心。我们现有的观察提示：它能够相当程度甚至完全恢复，当然（更详细的）有待更进一步地长期观察。 L新闻一加一的酷燃视频
414,414,414,【#湖北要求救助特殊困难群体#】20日，湖北省新型冠状病毒感染肺炎疫情防控指挥部发出通知，要求对低保对象、特困人员、重度残疾人、孤儿、留守老人、留守儿童等特殊困难群体，按照城市人员不低于500元、农村人员不低于300元的标准，给予生活物资救助。分配捐赠的生活物资时，应优先考虑特殊困难群体和 展开全文c
415,415,415,【#病毒会在头发上滞留吗#】中国疾控中心研究员冯录召表示，一般情况下，公众#外出回家后不需专门洗头#或消毒。目前研究显示，病毒对于一些外环境，如紫外线和热都是敏感的，外出到室外或一般的公共场所，头发沾到高浓度并且同时具有活病毒的飞沫可能性非常低，所以保持头发的日常清洁即可。 展开全文c
416,416,416,#美方找到疫苗和药物开发关键靶点#【美国科学家宣布创建#首个新冠病毒原子图#，这是研制疫苗关键一步】2月19日，美国科学家宣布，他们创建了首个新冠病毒附着并感染人类细胞部分的3D原子尺度结构图。研究小组正在将其分子结构图发送给世界各地的研究者，包括中国的许多团体，这将有助于疫苗的研 展开全文c
417,417,417,【桥不通，#三人偷划船到对岸买零食# 刚靠岸就被逮住】因疫情防控工作需要，合肥庐江县白山大桥临时封闭。三人付钱找了船夫，坐着小渔船去买零食。小船刚靠岸就被巡逻检查的民警依法扣押。疫情防控期，咱们要做个宅在家的“吃货”，就算出门，也要选个安全的交通工具呀。LJSTV荔枝视频的秒拍视频
418,418,418,#又是被谢广坤气死的一天#今天小剧来给整点解气的，#王老七KO谢广坤#这叫一个痛快观看引发极度舒适～ L微博电视剧的微博视频
419,419,419,"#电视剧三生三世枕上书# 【剧情分析 | 东华漫漫追妻路之4（31-34集）】站在东华的角度的东凤感情线分析
【31集】给帝君追妻路各次行动评个分
【32集】原创帝君想要的是这样的帝后
【33集】为什么我说竞赛后帝君抱走姬蘅并不渣？
【46集彩蛋】淋雨的五六个时辰，东华到底想了些什么？
写作仓促错误之处 展开全文c"
420,420,420,【农业农村部：#1月份全国生猪生产稳步恢复#】#能繁母猪存栏连续4个月环比增长#据农业农村部20日消息，农业农村部畜牧兽医局局长杨振海介绍，对全国400个定点监测县数据汇总，1月份能繁母猪存栏环比增长1.2%，连续4个月环比增长，与去年9月份相比增长8%。部分养猪大省能繁母猪存栏恢复势头更好，辽宁连 展开全文c
421,421,421,【千万不能让网友再宅家里了！ #为了拍照什么都不放过#】近日，因疫情宅在家多日，按耐不住仍想自拍的网友们脑洞大开，用洗衣机、冰箱、薯片袋甚至是筷子等家居物品作为道具开启拍拍拍模式。宅家拍照新姿势引发网友热议，并纷纷打开相机试验。L有料的秒拍视频
422,422,422,【河南南阳：邻居#与未戴口罩感染者交谈不到3分钟被感染#】2月18日，河南南阳市新冠肺炎疫情防控指挥部发布《致全市人民的一封信》提到，随着管控时间的延长，一些领导干部和一线防控人员疲劳厌战、麻痹松懈，部分群众盲目乐观、心存侥幸，卧龙区朱某某，被妻子感染后，未戴口罩与邻居交谈不到3分钟就 展开全文c
423,423,423,王者荣耀#王者荣耀爆冷知识# 你知道吗？？ L游戏大腿的微博视频
424,424,424,【先替他/她们先收好这份名单！#待疫情结束再看大好河山#】截至2月20日，实施医护人员免票景区至少达到1067个，覆盖全国30个省市，195个城市，湖北A级景区5年内对援鄂医护免票。#免费对医护开放的景区名单#（部分）↓↓ 一起守护#疫情中的逆行者#！
425,425,425,#虞书欣说话# #虞书欣和JONYJ换位置# 今晚简直就是@青春有你2-虞书欣Esther 的圆梦现场长桌选座时想和LISA@lalalalisa_m 挨着坐，主动提出和JONY J换座，还隔着豆芽老师表白Lisa@蔡徐坤 “这才第一期诶，你确定要得罪老师嘛？” L新浪综艺的微博视频
426,426,426,#迪士尼主题发型# [米妮爱你]迪士尼发型[米奇大哭] 真想不到头发原来还能这么梳？！这就是传说中的迪士尼公主吧~
427,427,427,【回应了！#四川火锅店老板是认真的#：火锅备好，只等你们回来！】2月17日，四川省火锅协会倡议全体会员，为出征武汉的四川医务人员免费提供一年的火锅。据悉，已有有60家火锅品牌共400多家分店响应，目前参加的企业还在增加。四川各家火锅串串店老板纷纷回应，隔空喊话：驰援武汉一线的医务人 展开全文c
428,428,428,【英国遭遇超强风暴#英国客机降落时被吹偏近90度#】2月15日，英国伦敦希斯罗机场，“丹尼斯”风暴过境，一架阿提哈德航空A380客机在狂风中尝试降落，摇摇晃晃被吹得几乎与直线跑道呈90°角，所幸有惊无险安全落地。@世面 L世面的秒拍视频
429,429,429,#江达琳智商上线##完美关系# 江达琳演了那么多集“傻白甜”，今晚终于智商上线了，想方设法救卫哲，剧情这反转得你们满意了吗
430,430,430,"昨天，我们开启了#晚安短信湖北计划# 第二次“陌生人交换晚安”。24万身在湖北的人，和全国陌生人互相交换“今天过得怎么样”。今晚——

身在湖北的你，将会收到来自省外随机陌生人的晚安。
湖北之外的你，将会收到来自湖北当地随机陌生人的晚安。

希望每一句晚安都能成为我们互相相信的力量。你收到 展开全文c"
431,431,431,#无米炒饭# 跟着小哇学做一道沒有米粒的炒饭吧，白花菜炒绿花菜健康又美味哦@钟汉良 #钟汉良漫游记#
432,432,432,【#浙江出院患者占确诊病例超半数#】记者从浙江省卫生健康委获悉，截至2月19日24时，浙江省累计报告新冠肺炎确诊病例1175例，累计出院609例，出院患者占确诊病例的51.83%。一名女性患者因多器官脏器功能衰竭，于20日抢救无效病亡，这是#浙江首个新冠肺炎死亡病例#。O浙江新冠肺炎出院患者占确诊病例超半数 出现首例病亡病例
433,433,433,【#我是院长我丢不下#】18日，武汉武昌医院院长刘智明倒在了战疫最前线。他曾三天三夜不眠不休，协调完成收治500个确诊病人的任务。在自己确诊住进病房后，他仍不停打电话、回信息，保障院内工作。他说：“我是院长，我丢不下！”目前，他带领的武昌医院已成功送400多名重症患者治愈出院。致敬！ 展开全文c
434,434,434,【#孙小果被执行死刑#】遵照最高人民法院下达的执行死刑命令，云南省昆明市中级人民法院今天对罪犯孙小果执行死刑。（总台央视记者吴闯 程琴）
435,435,435,"【#神舟董事长喊话刘强东# ：兄弟有必要为这点小钱撕破脸么】
据Tech星球报道，深圳市神舟创新科技有限公司总经理史俞馨表示：”我们吴总（神舟电脑董事长吴海军）跟刘总（京东集团董事局主席刘强东）都是江苏人，苏北老乡，他俩都是从农村出来的，二人创业初期的经历也差不多。她转述吴海军的话回应： 展开全文c"
436,436,436,"#和平精英# | #和平精英新皮肤#
“四级包，快来看！草地上有一只软软胖胖的小仓鼠，还在啃瓜子”
“awsl！好想rua两下，我要给它当一辈子铲屎官！ ”
“吓得我瓜子都掉了！你们经过本仓鼠的同意了吗我还没找到天命瓜子，恕不奉陪了各位！”

新皮肤「仓鼠灰灰」明日上 展开全文c"
437,437,437,"#今天你吃上火锅了吗#
非常时期
宅在家想方设法弄出自己想吃的美食
有些东西，越是吃不到，就越是馋
比如此刻的我就是想喝奶茶涮火锅
出门买了菜
终于可以喝上奶茶吃上火锅了
ps：外出买菜归家后
一定要里外消毒和认真洗手
在网上学的六步洗手法很赞很靠谱
@鲜城 #宅家美食pk赛# 展开全文c"
438,438,438,【日本厚生劳动大臣频频咳嗽未戴口罩，被批“反面教材”】近日，主管健康医疗等的日本厚生劳动大臣加藤胜信，在参加NHK电视节目及疫情发布会时，均出现了咳嗽、吸鼻涕等动作。而且，咳嗽之后他竟握拳遮住嘴巴，而非用手肘或衣袖捂住，被日本网友批评是“反面教材”、“最差示范”。 （观察者网） 展开全文c
439,439,439,#在家娱乐翻车现场#又开始玩了是吗？在家无聊可以尝试一下沙雕网友的玩法哈哈哈哈
440,440,440,【中央指导组约谈武汉有关负责人：释放失职失责必须追究的强烈信号】国务院副秘书长丁向阳：针对应收尽收过程中，一些干部存在底数不清、情况不明、救治不及时、责任不落实的情况和问题，转运过程中衔接无序、组织混乱致群众严重不满等，中央指导组对武汉市武昌区、江汉区及湖北省和武汉市的卫健委部门 展开全文c
441,441,441,挑战全网最好吃的吃法，这样做酸辣粉无敌好吃！#宅家美食pk赛# #懒人酸辣粉怎么做#@微博故事 微博视频
442,442,442,"#我是真的宅#
是我本人！"
443,443,443,《新世界》终于大结局撒花，看到大家都齐齐整整我好开心啊呜呜呜。今晚不仅#金海没死#还和美兰手牵手、#徐天田丹重逢#啦、宝慧变得能干、大缨子和燕三结婚、祥子当了掌柜的，而且作恶多端的小红袄死了……田丹之前说的没错，新世界真好！#电视剧新世界# L小娱婆的微博视频
444,444,444,#哈尔滨两区县领导防疫不力被免职#【#哈尔滨香坊区长五常市长被免职#】黑龙江哈尔滨香坊区委副书记、区长赵罡，五常市委副书记、市长于军，在应对疫情工作特殊时期，对疫情严峻形势估计不足，对疫情防控领导不力，组织发动不够，防控措施不实，造成香坊区、五常市疫情扩散。经市委常委会会议研究决定， 展开全文c
445,445,445,"#想见你加更花絮# 好消息，《想见你》虽然已经大结局了，但是本周还会加更花絮，而且是之前从来没曝光过的花絮！！！周六晚上坐等一个
（视频来源于网络）
L小娱婆的微博视频"
446,446,446,【#浙江出院患者占确诊病例超半数#】记者从浙江省卫生健康委获悉，截至2月19日24时，浙江省累计报告新冠肺炎确诊病例1175例，累计出院609例，出院患者占确诊病例的51.83%。一名女性患者因多器官脏器功能衰竭，于20日抢救无效病亡，这是#浙江首个新冠肺炎死亡病例#。O浙江新冠肺炎出院患者占确诊病例超半数 出现首例病亡病例
447,447,447,#章子怡孕肚封面# 章子怡登上《嘉人》3月刊封面，大花压轴最后一封五大开季~怀孕36周坚持营业，满满母爱光辉，美的~
448,448,448,【#湖北企业不早于3月10日24时复工#】当前，全省疫情防控正处于最吃劲的关键期，疫情形势开始出现积极变化，但总体形势仍然严峻复杂。为巩固和扩大疫情防控效果，坚决阻断疫情传播，切实保障人民群众生命安全和身体健康，根据《中华人民共和国突发事件应对法》《中华人民共和国传染病防治法》和湖北省 展开全文c
449,449,449,【无法兑现承诺 东京马拉松赛向中国参赛者道歉】因疫情影响，近日，东京马拉松组委会发布公告称，希望居住在中国的跑者能够自愿放弃比赛选择报名2021年马拉松，同时，2020年的报名费不予退还，选手们还需另外支付2021年的报名费。退赛不退费，东马的做法引发热议。#东京马拉松向中国跑者致歉# 展开全文c
450,450,450,#李兰娟脸上的压痕#【#李兰娟重症ICU查房#】20日，中国工程院院士、国家卫健委高级别专家组成员李兰娟，走进武汉大学人民医院东院区ICU病房，问诊新冠肺炎危重症患者。为鼓励士气，她让助手在防护服写上“加油！”。当她脱下防护服，脸上压痕清晰可见。网友：李奶奶，辛苦了！O网页链接
451,451,451,【#疫情相关的8个好消息# 转！我们共同战疫】全国现有疑似病例数11连降；湖北以外地区新增确诊病例数16连降，多地新增数量为0；湖北累计治愈出院人数破1万例……8个数字8个好消息，坚持住，#14亿人在战斗每个你都算数#！
453,453,453,【#重庆调拨20万毫升血浆增援湖北#】今天，为增援湖北医疗用血，重庆市卫健委从万州、合川、南川、铜梁四地紧急调拔1000袋共20万毫升的血浆，分别送往湖北宜昌、恩施、荆州三地中心血站，缓解当地用血紧张。这批血浆将统一由重庆市血液中心于2月21日送达湖北。网友：血浓于水，#共同战疫# ！（总台央视 展开全文c
454,454,454,#新世界大结局# 可真是彩蛋连连，真没想到还能吃到小耳朵的瓜。人家同志一本正经的说“连翠华，不是女犯吗？”哈哈哈哈哈哈哈谁能想到呢，从号子里出来的不仅不是个女的，还是豪横的小耳朵！#小耳朵真名#原来小耳朵叫连翠华#还有小红袄被打死了、金海没死回归，真好！
455,455,455,【男子#因封路在面包车上生存26天#，被人当成逃犯】男子董某1月24日从湖北红安出发回老家温州，因疫情封路被困武穴市26天。有野外生存经验的董某将车停在公厕附近，购买1个月分量的面条、鸡蛋。当地村民以为董某是逃犯，便报了警。民警已向防疫部门申请助其返回红安。L一手video的秒拍视频
456,456,456,#宁桓宇结婚# 20日晚，13届快男@宁桓宇 晒出结婚证宣布结婚喜讯，并配文“2020.2.20❤️ ”。据结婚证显示，女方是1997年10月出生，比宁桓宇小4岁。1月29日，他晒出与女友的合影正式宣布恋情，甜蜜写道“以后我就是有领导的人了”。恭喜啊！O13届快男宁桓宇晒照宣布结婚
457,457,457,【#复工后最爱点什么外卖#？】#周刊君与你共同战疫# 某外卖平台发布数据显示，#复工后上班族最爱点火锅外卖#，火锅外卖订单量大幅增长，复工第二周相较第一周增长超过50%，三成商家外卖单量超疫前。回到岗位的上班族更倾向通过外卖给“居家胃”换个口味。火锅、烧烤、香锅、东南亚菜和西餐是最受上班族 展开全文c
458,458,458,#美食时刻##馒头披萨#馒头也能做披萨，不用烤箱，一个平底锅就可以搞定L不二食记的微博视频
459,459,459,金海其实没死，后面带着徐天和刀美兰去了南方，凭着手上的金条开了一家裁缝铺，叫做海兰之家，赚了钱之后又和徐天开了一家酱油厂叫做海天酱油，又偶遇小耳朵，因在牢里救过金海，从此结拜，就是后面的海尔兄弟。 请问：这是哪位高人写的续集剧本🙋🙋🙋
460,460,460,#以为每天上传体温就够傻的了#谢谢，有被笑到，哈哈哈哈哈
461,461,461,【20日零时起 #俄罗斯全面禁止中国公民入境#】 当地时间2月18日，俄罗斯政府发布消息称，自莫斯科时间2月20日零时起，俄方临时禁止持工作、私人访问、学习和旅游签证的中国公民入境。自2月19日起，俄方暂停受理、审批和颁发中国公民的工作邀请函和境外中国公民的工作许可，暂停受理、审批和颁发中国公 展开全文c
462,462,462,【好消息！#湖北外各地新增病例均降至个位#】辽宁、上海、海南、贵州、西藏、甘肃、青海、新疆（含兵团）等#全国8地新增病例降为零#。一起加油，#期待下一个零#！
463,463,463,#寄生虫方回应被告抄袭# 据韩媒18日报道，《寄生虫》的发行公司CJ ENM回应电影被指抄袭一事，称从未收到印度方面的联系。印度当地媒体也批判抄袭主张过于荒唐，“或许在情节上有相似之处，但实际上是截然不同的。就电影的内容以及美学层面的部分而言，两者是完全不同的作品。”
464,464,464,【#15名澳籍乘客拒撤离钻石公主号#】2月19日，15名“钻石公主”号邮轮澳大利亚籍乘客考虑拒绝下船，因为他们担心转移途中被感染或感染他人，其中还有部分人不愿丢下已经被确诊感染的家人。2月17日，澳总理宣布包机接回邮轮上本国及新西兰籍乘客，这些乘客被接回后将接受14天隔离。#聚焦新冠肺炎疫情# 展开全文c
465,465,465,【#钻石公主号下船中国同胞乘包机返港#】#万众一心抗击疫情#19日起，“钻石公主”号乘客开始分批下船。在中央政府的统筹下，经中国驻日本大使馆、外交部驻香港公署、香港特别行政区政府有关部门紧密协调，特区政府将派包机撤离中国乘客前往香港。首架包机将于2月20日凌晨1：45从东京羽田机场起飞。（人 展开全文c
466,466,466,【媒体称#江苏3月23日前不开学#】据认证为扬子晚报的公众号“招考部落”消息：江苏中小学到底啥时候能开学？记者了解到，到3月23号之前，学校是不可能开学的，具体开学时间还要看疫情状况定。不信谣不传谣，一切等官方宣布。你期待早日开学吗？#江苏开学时间#
467,467,467,#中国队因疫情退出戴维斯杯# 戴维斯杯世界一组附加赛将在3月6-7日举行，中国男网因国内疫情问题选择退赛，罗马尼亚不战而胜晋级世界一组。O中国男队因疫情退出戴维斯杯
468,468,468,"我们都是“追光者”，一切都会好起来的❤️
520福利💕 L郑爽SZ的微博视频"
469,469,469,【复工后车流增多道路变“红”，网友：#第一次看到堵车会开心#】随着新增确诊病例的连续降低，国内各个城市开启了复工模式，复工的人流让城市恢复了久违的热闹，车流增多道路变“红”。数据显示，本周开始北上广深杭等多个城市早晚高峰开始出现拥堵现象，但是这一次网友却激动地奔走相告：那个让 展开全文c
470,470,470,#火烈鸟高跟鞋# 这大概是仙女下凡穿的鞋吧~
471,471,471,#易烊千玺体重曝光# #易烊千玺56kg#@TFBOYS-易烊千玺 在《朋友请听好》里称体重，竟然只有56kg！这个体重实在是太让人羡慕了，而且何老师@何炅 跟娜姐@谢娜 也那么轻，请问三位真火要不要在节目里透露一下怎么可以做到身材保持这么好？L新浪综艺的微博视频
472,472,472,"#北大方正被银行申请破产重整#
太难了！大型国企方正集团宣告破产，负债总额高达3030亿
我就想问一下，这么大一个国企，这么多人才，这样的企业都搞不好，难堵众口，查，建议国家好好查一查！"
473,473,473,#花木兰美国分级#刘亦菲主演迪士尼真人电影《花木兰》美国分级定为PG-13，北美已经定档3月27日上映了，期待神仙姐姐slay全球
474,474,474,【#澳大利亚新州一天遭遇80万道闪电#：大树连根拔起 悉尼男子殒命】2月18日，澳大利亚新州在一天内遭遇了80万次闪电雷击。狂风将大树连根拔起，不少屋顶都被掀翻。一名37岁的男子被飞起的煤气瓶击中，送医抢救后不治身亡。当地气象局称暴风雨或将继续，提醒民众注意出行安全。@世面 展开全文c
475,475,475,#东出昌大含泪再次道歉# 据日媒，东出昌大在新剧杀青片场就婚内出轨事件再次道歉，他含泪说道：“是我背叛了所有人，真的非常抱歉，今后我不会再背叛别人”，还表示将与分居中的妻子杏协商今后的安排。剧组工作人员透露，东出昌大很自责，“他除了拍摄以外总是一个人呆着。”O东出昌大杀青片场含泪道歉
476,476,476,#钻石公主号累计确诊621例新冠肺炎#【中国驻日大使馆：#钻石公主号47名中国同胞确诊#】据中国驻日本大使馆最新消息，截至19日，船上有47名中国同胞被确诊，其中2人来自中国内地，44人来自中国香港，1人来自中国台湾。钻石公主号542例新冠病毒肺炎患者的国籍信息公布，他们来自25个国家，日本人最 展开全文c
477,477,477,据说甜甜的恋爱背后还隐藏着这样的真相 #无法理解的统一现象#
478,478,478,#霍尊打哈欠下巴脱臼# 19日，@霍尊 在微博晒出了前往医院诊治的视频，并发文表示因打哈欠导致下巴脱臼，特殊时期半夜挂急诊。他赞扬医护工作者都是真英雄，并向他们致敬。视频中，霍尊在接受医生的矫正，可能是因为太过疼痛，他忍不住闭起了眼睛。事后，他还晒出了绑着矫正带的照片，心疼又好笑
479,479,479,【国家卫健委：#保证医务人员合理休息#、#不鼓励医护带病上岗#】18日，国家卫健委发布通知，进一步加强疫情防控期间医务人员防护。通知要求，医疗机构要结合工作强度和岗位特点，合理调配医务人员，科学安排诊疗班次，保持医务人员合理休息，不鼓励带病上岗。防护物资供应不足时，及时向主管部门报告。
480,480,480,【为了你，我们拼尽全力】医用防护服日产能提升20倍；核酸检测试剂日产能达170万人份；近20天累计生产口罩5.7亿只；央行出台3000亿专项再贷款 ；口罩企业产能利用率已达到110%…14亿中国人都在拼尽全力，并肩战斗，一起实现这场战“疫”的胜利！
